Date,AAPL Close Price,MSFT Close Price,AMZN Close Price,NVDA Close Price,GOOGL Close Price,TSLA Close Price,META Close Price,BRKB Close Price,UNH Close Price
3/31/23,164.90,288.30,103.29,27.78,103.73,207.46,211.94,308.77,472.59
4/6/23,164.66,291.60,102.06,27.04,108.42,185.06,216.10,312.51,512.81
4/14/23,165.21,286.14,102.51,26.76,108.87,185.00,221.49,319.74,511.79
4/21/23,165.02,285.76,106.96,27.12,105.41,165.08,212.89,324.33,483.82
4/28/23,169.68,307.26,105.45,27.75,107.34,164.31,240.32,328.55,492.09
5/5/23,173.57,310.65,105.66,28.68,105.57,170.06,232.78,323.88,494.28
5/12/23,172.57,308.97,110.26,28.34,117.51,167.98,233.81,322.49,491.23
5/19/23,175.16,318.34,116.25,31.26,122.76,180.14,245.64,330.39,478.82
5/26/23,175.43,332.89,120.11,38.95,124.61,193.17,262.04,320.60,481.52
6/2/23,180.95,335.40,124.25,39.33,124.67,213.97,272.61,329.48,499.58
6/9/23,180.96,326.79,123.43,38.77,122.23,244.40,264.95,335.29,493.62
6/16/23,184.92,342.33,125.49,42.69,123.53,260.54,281.00,338.31,458.49
6/23/23,186.68,335.02,129.33,42.21,122.34,256.60,288.73,335.25,477.00
6/30/23,193.97,340.54,130.36,42.30,119.70,261.77,286.98,341.00,480.64
7/7/23,190.68,337.22,129.78,42.50,119.48,274.43,290.53,340.90,461.58
7/14/23,190.69,345.24,134.68,45.47,125.42,281.38,308.87,341.09,480.17
7/21/23,191.94,343.77,130.00,44.31,120.02,260.02,294.26,345.76,506.53
7/28/23,195.83,338.37,132.21,46.75,132.58,266.44,325.48,349.81,502.91
8/4/23,181.99,327.78,139.57,44.68,128.11,253.86,310.73,349.99,502.73
8/11/23,177.79,321.01,138.41,40.85,129.56,242.65,301.64,358.35,508.01
8/18/23,174.49,316.48,133.22,43.30,127.46,215.49,283.25,352.56,498.44
8/25/23,178.61,322.98,133.26,46.02,129.88,238.59,285.50,355.93,489.12
9/1/23,189.46,328.66,138.12,48.51,135.66,245.01,296.38,362.46,476.24
9/8/23,178.18,334.27,138.23,45.57,136.38,248.50,297.89,363.15,480.77
9/15/23,175.01,330.22,140.39,43.90,137.40,274.39,300.31,367.86,486.70
9/22/23,174.79,317.01,129.12,41.61,130.25,244.88,299.08,360.16,506.10
