Date,4 WEEKS COUPON EQUIVALENT
9/22/23,5.4
9/15/23,5.39
9/8/23,5.39
9/1/23,5.39
8/25/23,5.4
8/18/23,5.38
8/11/23,5.39
8/4/23,5.38
7/28/23,5.37
7/21/23,5.37
7/14/23,5.31
7/7/23,5.27
6/30/23,5.18
6/23/23,5.11
6/16/23,5.12
6/9/23,5.2
6/2/23,5.23
5/26/23,5.9
5/19/23,5.52
5/12/23,5.69
5/5/23,5.49
4/28/23,4.31
4/21/23,3.35
4/14/23,4.26
4/6/23,4.53
3/31/23,4.69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
