Symbol,Market Cap
MMM,80056369152
AOS,9602089984
ABT,227802939392
ABBV,358607618048
ACN,193283555328
ADBE,168839135232
AMD,172824199168
AES,8848929792
AFL,60465381376
A,33918705664
APD,65657114624
ABNB,78071373824
AKAM,12259935232
ALB,8788581376
ARE,16566635520
ALGN,12091348992
ALLE,11234147328
LNT,16202398720
ALL,55467290624
GOOGL,1987813310464
GOOG,1987812786176
MO,98565472256
AMZN,2133952823296
AMCR,14034251776
AEE,26645684224
AEP,56148840448
AXP,190715936768
AIG,50089168896
AMT,100054491136
AWK,27889119232
AMP,47795855360
AME,40509943808
AMGN,164261167104
APH,82559320064
ADI,103629225984
ANSS,28231768064
AON,86301040640
APA,7718157312
APO,81025269760
AAPL,3362697248768
AMAT,119981285376
APTV,14283013120
ACGL,36421910528
ADM,23181930496
ANET,99578036224
AJG,87205634048
AIZ,10743502848
T,202424680448
ATO,23958405120
ADSK,57469530112
ADP,124270608384
AZO,64039305216
AVB,30320232448
AVY,14055158784
AXON,42764308480
BKR,43198586880
BALL,14700651520
BAC,323575185408
BAX,17285539840
BDX,65670647808
BRK-B,1153232273408
BBY,15825272832
TECH,9477376000
BIIB,20540805120
BLK,150275588096
BX,176096362496
BK,60654448640
BA,134763610112
BKNG,155964080128
BSX,149090254848
BMY,119847362560
AVGO,808688418816
BR,27954669568
BRO,35226583040
BF-B,16199195648
BLDR,14546896896
BG,10248552448
BXP,12056499200
CHRW,12021321728
CDNS,72018395136
CZR,5726471168
CPT,13266950144
CPB,11802044416
COF,67933581312
CAH,33010266112
KMX,11831833600
CCL,28153993216
CARR,56738086912
CAT,162162327552
CBOE,23062710272
CBRE,39460868096
CDW,21707489280
COR,53071548416
CNC,29876729856
CNP,23282769920
CF,12981097472
CRL,8083441152
SCHW,144360177664
CHTR,54252187648
CVX,293403983872
CMG,69013913600
CB,119554039808
CHD,26675863552
CI,88039612416
CINF,23099598848
CTAS,83256729600
CSCO,244267008000
C,135233191936
CFG,18031777792
CLX,17940160512
CME,94366294016
CMS,21880262656
KO,304434511872
CTSH,38372311040
CL,75584921600
CMCSA,141296713728
CAG,12629886976
COP,130826117120
ED,38092939264
STZ,33315137536
CEG,65544454144
COO,16992346112
CPRT,53753413632
GLW,39891537920
CPAY,24955574272
CTVA,42647453696
CSGP,33795868672
COST,416507428864
CTRA,21792018432
CRWD,90860322816
CCI,44670865408
CSX,56391716864
CMI,44466851840
CVS,85217468416
DHR,150323200000
DRI,24365404160
DVA,12199999488
DAY,9440328704
DECK,17749968896
DE,130202730496
DELL,67760361472
DAL,29811146752
DVN,23918671872
DXCM,27146932224
FANG,46377127936
DLR,49685815296
DFS,40888324096
DG,19254161408
DLTR,16550636544
D,46411165696
DPZ,16163489792
DASH,81507024896
DOV,24554655744
DOW,24871122944
DHI,41733435392
DTE,28056432640
DUK,91416641536
DD,31755001856
EMN,10266702848
ETN,110051827712
EBAY,31133458432
ECL,71668383744
EIX,22058024960
EW,41699901440
EA,37867794432
ELV,98204696576
EMR,63201914880
ENPH,8042314240
ETR,36193460224
EOG,70199042048
EPAM,9911613440
EQT,31258114048
EFX,30238291968
EQIX,80329072640
EQR,27888955392
ERIE,21938227200
ESS,21027999744
EL,24082919424
EG,15778711552
EVRG,15484205056
ES,22135044096
EXC,44672143360
EXE,25513228288
EXPE,21785853952
EXPD,16569410560
EXR,32138096640
XOM,511541215232
FFIV,15570732032
FDS,17084217344
FICO,45763768320
FAST,44574347264
FRT,8351049216
FDX,58442989568
FIS,39763980288
FITB,26431580160
FSLR,13554049024
FE,22750697472
FI,123023327232
F,39238156288
FTNT,76543672320
FTV,25382227968
FOXA,23915188224
FOX,23915186176
BEN,10429151232
FCX,57454055424
GRMN,41743974400
IT,32639285248
GE,219587493888
GEHC,37342953472
GEV,83598000128
GEN,16855832576
GNRC,7814798848
GD,72856887296
GIS,32669876224
GM,46964092928
GPC,16730170368
GILD,138433118208
GPN,24457285632
GL,10939768832
GDDY,25837049856
GS,173706756096
HAL,21997451264
HIG,35096895488
HAS,8564413440
HCA,84285136896
DOC,14125609984
HSIC,8617883648
HSY,34561298432
HES,49040011264
HPE,20938465280
HLT,55830532096
HOLX,14067057664
HD,360565243904
HON,139193139200
HRL,16673362944
HST,10294578176
HWM,53637193728
HPQ,27008440320
HUBB,18322102272
HUM,32632973312
HBAN,22086539264
HII,7970712064
IBM,228301668352
IEX,13894824960
IDXX,34364420096
ITW,73916506112
INCY,11743036416
IR,32770650112
PODD,18277744640
INTC,102274596864
ICE,101330280448
IFF,19993362432
IP,28726478848
IPG,9837933568
INTU,172014485504
ISRG,181967880192
IVZ,6960210944
INVH,20929488896
IQV,31623860224
IRM,25117792256
JBHT,15081206784
JBL,15269178368
JKHY,13072015360
J,15126832128
JNJ,393118875648
JCI,54243622912
JPM,693770846208
JNPR,12044819456
K,28463058944
